layer,research_code,parent_research_code,name_ar,name_fr,latitude,longitude,source_locator,existing_entity_id
imada,41541400,4154,سرديانة,Serdiana,35.926183,9.945502,ADM4 row / research sector code 41541400; dated ADM3 parent 4154,
imada,41531384,4153,سيدي علي بن سالم,Sidi Ali Ben Salem,35.57524,9.905929,ADM4 row / research sector code 41531384; dated ADM3 parent 4153,
imada,41541390,4154,سيدي مسعود,Sidi Messaoud,36.012313,9.873257,ADM4 row / research sector code 41541390; dated ADM3 parent 4154,
imada,41541397,4154,سيسب,Sisseb,35.992647,10.177369,ADM4 row / research sector code 41541397; dated ADM3 parent 4154,
imada,41571428,4157,صيادة الجنوبية,Sayada Sud,35.617666,9.393437,ADM4 row / research sector code 41571428; dated ADM3 parent 4157,
imada,41571427,4157,صيادة الشمالية,Sayada Nord,35.683282,9.33159,ADM4 row / research sector code 41571427; dated ADM3 parent 4157,
imada,41561419,4156,طرزة الجنوبية,Traza Sud,35.544646,9.634223,ADM4 row / research sector code 41561419; dated ADM3 parent 4156,
imada,41571430,4157,طرزة الشمالية,Tarza Nord,35.580552,9.572802,ADM4 row / research sector code 41571430; dated ADM3 parent 4157,
imada,41531383,4153,عبيدة,Abida,35.573132,9.99592,ADM4 row / research sector code 41531383; dated ADM3 parent 4153,
imada,41541388,4154,عين بومرة,Aïn Bou Morra,35.965238,9.94147,ADM4 row / research sector code 41541388; dated ADM3 parent 4154,
imada,41551410,4155,عين جلولة,Aïn Djeloula,35.800961,9.80668,ADM4 row / research sector code 41551410; dated ADM3 parent 4155,
imada,41521367,4152,مرق الليل,Merguellil,35.648172,10.026741,ADM4 row / research sector code 41521367; dated ADM3 parent 4152,
imada,41571426,4157,مسيوتة النقاز,Messiouta Ennaguaz,35.631859,9.474106,ADM4 row / research sector code 41571426; dated ADM3 parent 4157,
imada,41571425,4157,مسيوتة الهناشير,Messiouta El Hanachir,35.664146,9.424786,ADM4 row / research sector code 41571425; dated ADM3 parent 4157,
imada,41551402,4155,معروف,Mâarouf,35.99887,9.727892,ADM4 row / research sector code 41551402; dated ADM3 parent 4155,
imada,41591441,4159,نصر الله الاحواز,Nasrallah Banlieue,35.276714,9.869536,ADM4 row / research sector code 41591441; dated ADM3 parent 4159,
imada,41591440,4159,نصر اللّه المركز,Nasrallah Centre,35.36362,9.826262,ADM4 row / research sector code 41591440; dated ADM3 parent 4159,
imada,41531385,4153,هماد,Hammed,35.531671,9.903035,ADM4 row / research sector code 41531385; dated ADM3 parent 4153,
